file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,141,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,41
style.css,142,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,15
style.css,143,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,144,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,145,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,12
style.css,146,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,12
style.css,147,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,18
style.css,148,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,9
style.css,149,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,150,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,151,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,7
style.css,152,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,20
style.css,153,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,9
style.css,154,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,18
style.css,155,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,23
style.css,156,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,19
style.css,157,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,158,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,159,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,23
style.css,160,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,14
style.css,161,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,16
style.css,162,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,163,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,164,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,51
style.css,165,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,11
style.css,166,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,167,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,168,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,9
style.css,169,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,35
style.css,170,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,171,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,172,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,18
style.css,173,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,17
style.css,174,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,175,css,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,0
style.css,176,css,f9ebd7a7,Jacob Kavanal,2026-04-15,16:50:35,-07:00,2026-04-15T16:50:35-07:00,0,13
style.css,177,css,f9ebd7a7,Jacob Kavanal,2026-04-15,16:50:35,-07:00,2026-04-15T16:50:35-07:00,2,17
style.css,178,css,f9ebd7a7,Jacob Kavanal,2026-04-15,16:50:35,-07:00,2026-04-15T16:50:35-07:00,2,8
style.css,179,css,f9ebd7a7,Jacob Kavanal,2026-04-15,16:50:35,-07:00,2026-04-15T16:50:35-07:00,2,10
style.css,180,css,f9ebd7a7,Jacob Kavanal,2026-04-15,16:50:35,-07:00,2026-04-15T16:50:35-07:00,2,12
style.css,181,css,f9ebd7a7,Jacob Kavanal,2026-04-15,16:50:35,-07:00,2026-04-15T16:50:35-07:00,2,13
style.css,182,css,f9ebd7a7,Jacob Kavanal,2026-04-15,16:50:35,-07:00,2026-04-15T16:50:35-07:00,0,0
style.css,183,css,f9ebd7a7,Jacob Kavanal,2026-04-15,16:50:35,-07:00,2026-04-15T16:50:35-07:00,0,0
style.css,184,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,30
style.css,185,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,20
style.css,186,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,17
style.css,187,css,f9ebd7a7,Jacob Kavanal,2026-04-15,16:50:35,-07:00,2026-04-15T16:50:35-07:00,2,45
style.css,188,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,189,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,190,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,34
style.css,191,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,12
style.css,192,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,13
style.css,193,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,194,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,195,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,15
style.css,196,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,2,19
style.css,197,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
style.css,198,css,5e7ffe39,Jacob Kavanal,2026-04-09,11:17:54,-07:00,2026-04-09T11:17:54-07:00,0,0
project2_report.html,1,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,13
project2_report.html,2,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,0,14
project2_report.html,3,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,2,4
project2_report.html,4,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,4,29
project2_report.html,5,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,4,5
project2_report.html,6,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,6,5
project2_report.html,7,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
project2_report.html,8,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
project2_report.html,9,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
project2_report.html,10,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
project2_report.html,11,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
project2_report.html,12,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
project2_report.html,13,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
project2_report.html,14,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
project2_report.html,15,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
project2_report.html,16,html,98c07d8f,Jacob Kavanal,2026-05-02,14:05:28,-07:00,2026-05-02T14:05:28-07:00,8,35
